CODIGO SINADA,MEDIO DE RECEPCION,DEPARTAMENTO,PROVINCIA,DISTRITO,FECHA DE REGISTRO,ACTIVIDAD ECONOMICA,AGUA,AIRE,SUELO,FAUNA,FLORA,POBLACION,EFLUENTES,RESIDUOS SOLIDOS,GASES/HUMO,MATERIAL PARTICULADO,TALA,RADIACION NO IONIZANTE,FUENTE VISUAL,FUENTE SONORA,INDIRECTA/DIRECTA/MIXTA,ESTADO
SC-0786-2019,WEB,LA LIBERTAD,PACASMAYO,PACASMAYO,5/08/2019,SANEAMIENTO,1,0,0,0,0,0,1,0,0,0,0,0,0,0,INDIRECTA,CERRADA
SC-0785-2019,PERSONAL,HUANCAVELICA,CHURCAMPA,SAN PEDRO DE CORIS,5/08/2019,MINERIA,1,0,1,0,0,0,1,1,0,0,0,0,0,0,MIXTA,CERRADA
ODAN-0007-2019,PERSONAL,ANCASH,RECUAY,TICAPAMPA,6/08/2019,MINERIA,1,0,1,0,0,0,1,0,0,0,0,0,0,0,MIXTA,CERRADA
SC-0794-2019,WEB,PUNO,SANDIA,SANDIA,6/08/2019,SANEAMIENTO,1,0,0,0,0,0,1,1,0,0,0,0,0,0,INDIRECTA,CERRADA
SC-0793-2019,WEB,JUNIN,SATIPO,MAZAMARI,6/08/2019,COMERCIO,0,0,0,0,0,1,0,0,0,0,0,0,0,1,INDIRECTA,CERRADA
SC-0792-2019,WEB,LIMA,HUAURA,HUACHO,6/08/2019,SANEAMIENTO,1,0,1,0,0,0,0,1,0,0,0,0,0,0,INDIRECTA,CERRADA
SC-0791-2019,WEB,LIMA,LIMA,CARABAYLLO,6/08/2019,INDUSTRIA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,DIRECTA,CERRADA
SC-0790-2019,TRA. DOCUMENTARIO,SAN MARTIN,RIOJA,NUEVA CAJAMARCA,6/08/2019,SANEAMIENTO,1,0,1,0,0,0,1,0,0,0,0,0,0,0,INDIRECTA,CERRADA
SC-0789-2019,TRA. DOCUMENTARIO,MADRE DE DIOS,MANU,HUEPETUHE,6/08/2019,FORESTAL,0,0,0,0,1,0,0,0,0,0,1,0,0,0,INDIRECTA,CERRADA
SC-0788-2019,WEB,LA LIBERTAD,TRUJILLO,TRUJILLO,6/08/2019,GANADERIA,0,1,1,0,0,1,0,1,1,0,0,0,0,1,DIRECTA,CERRADA
SC-0798-2019,WEB,LIMA,LIMA,COMAS,7/08/2019,INDUSTRIA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,DIRECTA,CERRADA
SC-0797-2019,WEB,LIMA,HUAURA,VEGUETA,7/08/2019,FORESTAL,1,0,0,0,0,0,0,1,0,0,0,0,0,0,INDIRECTA,CERRADA
SC-0796-2019,TRA. DOCUMENTARIO,CAJAMARCA,JAEN,BELLAVISTA,7/08/2019,FORESTAL,0,0,1,0,1,0,0,0,0,0,1,0,0,0,INDIRECTA,CERRADA
SC-0795-2019,WEB,LIMA,LIMA,INDEPENDENCIA,7/08/2019,INFRAESTRUCTURA,0,1,1,0,0,0,0,1,1,0,0,0,0,0,INDIRECTA,CERRADA
SC-0801-2019,TRA. DOCUMENTARIO,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,8/08/2019,GANADERIA,0,1,1,0,0,0,0,1,0,0,0,0,0,0,DIRECTA,CERRADA
SC-0800-2019,TRA. DOCUMENTARIO,LA LIBERTAD,TRUJILLO,MOCHE,8/08/2019,MINERIA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,INDIRECTA,CERRADA
ODPI-0008-2019,TELEFONO,PIURA,PIURA,PIURA,8/08/2019,COMERCIO,0,0,1,0,0,1,1,1,0,0,0,0,1,0,INDIRECTA,CERRADA
SC-0799-2019,WEB,TUMBES,ZARUMILLA,AGUAS VERDES,8/08/2019,FORESTAL,0,0,0,0,1,0,0,0,0,0,1,0,0,0,INDIRECTA,CERRADA
ODPI-0009-2019,TELEFONO,PIURA,PAITA,LA HUACA,9/08/2019,AGRICULTURA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,DIRECTA,CERRADA
ODUC-0009-2019,E-MAIL,UCAYALI,PADRE ABAD,PADRE ABAD,9/08/2019,INDUSTRIA,1,0,1,0,0,0,1,0,0,0,0,0,0,0,MIXTA,CERRADA
SC-0812-2019,WEB,ICA,ICA,ICA,9/08/2019,INFRAESTRUCTURA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,INDIRECTA,CERRADA
SC-0811-2019,TRA. DOCUMENTARIO,ANCASH,RECUAY,RECUAY,9/08/2019,MINERIA,1,0,1,0,0,0,1,0,0,0,0,0,0,0,MIXTA,CERRADA
